"family","genus"
"Ranunculaceae","Xanthorhiza"
"Sabiaceae","Meliosma"
"Sabiaceae","Ophiocaryon"
"Sabiaceae","Sabia"
"Nelumbonaceae","Nelumbo"
"Platanaceae","Platanus"
"Proteaceae","Acidonia"
"Proteaceae","Adenanthos"
"Proteaceae","Agastachys"
"Proteaceae","Alloxylon"
"Proteaceae","Athertonia"
"Proteaceae","Aulax"
"Proteaceae","Austromuellera"
"Proteaceae","Banksia"
"Proteaceae","Beauprea"
"Proteaceae","Beaupreopsis"
"Proteaceae","Bellendena"
"Proteaceae","Brabejum"
"Proteaceae","Buckinghamia"
"Proteaceae","Cardwellia"
"Proteaceae","Carnarvonia"
"Proteaceae","Catalepidia"
"Proteaceae","Cenarrhenes"
"Proteaceae","Conospermum"
"Proteaceae","Darlingia"
"Proteaceae","Diastella"
"Proteaceae","Dilobeia"
"Proteaceae","Eidothea"
"Proteaceae","Embothrium"
"Proteaceae","Eucarpha"
"Proteaceae","Euplassa"
"Proteaceae","Faurea"
"Proteaceae","Finschia"
"Proteaceae","Floydia"
"Proteaceae","Franklandia"
"Proteaceae","Garnieria"
"Proteaceae","Gevuina"
"Proteaceae","Grevillea"
"Proteaceae","Hakea"
"Proteaceae","Helicia"
"Proteaceae","Heliciopsis"
"Proteaceae","Hicksbeachia"
"Proteaceae","Hollandaea"
"Proteaceae","Isopogon"
"Proteaceae","Kermadecia"
"Proteaceae","Knightia"
"Proteaceae","Lambertia"
"Proteaceae","Lasjia"
"Proteaceae","Leucadendron"
"Proteaceae","Leucospermum"
"Proteaceae","Lomatia"
"Proteaceae","Macadamia"
"Proteaceae","Malagasia"
"Proteaceae","Megahertzia"
"Proteaceae","Mimetes"
"Proteaceae","Musgravea"
"Proteaceae","Neorites"
"Proteaceae","Nothorites"
"Proteaceae","Opisthiolepis"
"Proteaceae","Oreocallis"
"Proteaceae","Orites"
"Proteaceae","Orothamnus"
"Proteaceae","Panopsis"
"Proteaceae","Paranomus"
"Proteaceae","Persoonia"
"Proteaceae","Petrophile"
"Proteaceae","Placospermum"
"Proteaceae","Protea"
"Proteaceae","Roupala"
"Proteaceae","Serruria"
"Proteaceae","Sleumerodendron"
"Proteaceae","Sorocephalus"
"Proteaceae","Spatalla"
"Proteaceae","Sphalmium"
"Proteaceae","Stenocarpus"
"Proteaceae","Stirlingia"
"Proteaceae","Strangea"
"Proteaceae","Symphionema"
"Proteaceae","Synaphea"
"Proteaceae","Telopea"
"Proteaceae","Toronia"
"Proteaceae","Triunia"
"Proteaceae","Turrillia"
"Proteaceae","Vexatorella"
"Proteaceae","Virotia"
"Proteaceae","Xylomelum"
"Trochodendraceae","Tetracentron"
"Trochodendraceae","Trochodendron"
"Buxaceae","Buxus"
"Buxaceae","Didymeles"
"Buxaceae","Haptanthus"
"Buxaceae","Pachysandra"
"Buxaceae","Sarcococca"
"Buxaceae","Styloceras"
"Myrothamnaceae","Myrothamnus"
"Gunneraceae","Gunnera"
"Dilleniaceae","Acrotrema"
"Dilleniaceae","Curatella"
"Dilleniaceae","Davilla"
"Dilleniaceae","Didesmandra"
"Dilleniaceae","Dillenia"
"Dilleniaceae","Doliocarpus"
"Dilleniaceae","Hibbertia"
"Dilleniaceae","Neodillenia"
"Dilleniaceae","Pachynema"
"Dilleniaceae","Pinzona"
"Dilleniaceae","Schumacheria"
"Dilleniaceae","Tetracera"
"Peridiscaceae","Medusandra"
"Peridiscaceae","Peridiscus"
"Peridiscaceae","Soyauxia"
"Peridiscaceae","Whittonia"
"Paeoniaceae","Paeonia"
"Altingiaceae","Altingia"
"Altingiaceae","Liquidambar"
"Altingiaceae","Semiliquidambar"
"Hamamelidaceae","Chunia"
"Hamamelidaceae","Corylopsis"
"Hamamelidaceae","Dicoryphe"
"Hamamelidaceae","Disanthus"
"Hamamelidaceae","Distyliopsis"
"Hamamelidaceae","Distylium"
"Hamamelidaceae","Embolanthera"
"Hamamelidaceae","Eustigma"
"Hamamelidaceae","Exbucklandia"
"Hamamelidaceae","Fortunearia"
"Hamamelidaceae","Fothergilla"
"Hamamelidaceae","Hamamelis"
"Hamamelidaceae","Loropetalum"
"Hamamelidaceae","Maingaya"
"Hamamelidaceae","Matudaea"
"Hamamelidaceae","Molinadendron"
"Hamamelidaceae","Mytilaria"
"Hamamelidaceae","Neostrearia"
"Hamamelidaceae","Noahdendron"
"Hamamelidaceae","Ostrearia"
"Hamamelidaceae","Parrotia"
"Hamamelidaceae","Parrotiopsis"
"Hamamelidaceae","Rhodoleia"
"Hamamelidaceae","Sinowilsonia"
"Hamamelidaceae","Sycopsis"
"Hamamelidaceae","Tetrathyrium"
"Hamamelidaceae","Trichocladus"
"Cercidiphyllaceae","Cercidiphyllum"
"Daphniphyllaceae","Daphniphyllum"
"Iteaceae","Choristylis"
"Iteaceae","Itea"
"Iteaceae","Pterostemon"
"Grossulariaceae","Ribes"
"Saxifragaceae","×Heucherella"
"Saxifragaceae","Astilbe"
"Saxifragaceae","Astilboides"
"Saxifragaceae","Bensoniella"
"Saxifragaceae","Bergenia"
"Saxifragaceae","Bolandra"
"Saxifragaceae","Boykinia"
"Saxifragaceae","Cascadia"
"Saxifragaceae","Chrysosplenium"
"Saxifragaceae","Ciliaria"
"Saxifragaceae","Conimitella"
"Saxifragaceae","Darmera"
"Saxifragaceae","Elmera"
"Saxifragaceae","Hemieva"
"Saxifragaceae","Heuchera"
"Saxifragaceae","Jepsonia"
"Saxifragaceae","Leptarrhena"
"Saxifragaceae","Lithophragma"
"Saxifragaceae","Micranthes"
"Saxifragaceae","Mitella"
"Saxifragaceae","Mitellastra"
"Saxifragaceae","Mukdenia"
"Saxifragaceae","Oresitrophe"
"Saxifragaceae","Ozomelis"
"Saxifragaceae","Pectiantia"
"Saxifragaceae","Peltoboykinia"
"Saxifragaceae","Rodgersia"
"Saxifragaceae","Saxifraga"
"Saxifragaceae","Saxifragodes"
"Saxifragaceae","Saxifragopsis"
"Saxifragaceae","Suksdorfia"
"Saxifragaceae","Sullivantia"
"Saxifragaceae","Tanakaea"
"Saxifragaceae","Telesonix"
"Saxifragaceae","Tellima"
"Saxifragaceae","Tiarella"
"Saxifragaceae","Tolmiea"
"Crassulaceae","×Graptoveria"
"Crassulaceae","×Pachyveria"
"Crassulaceae","Adromischus"
"Crassulaceae","Aeonium"
"Crassulaceae","Aichryson"
"Crassulaceae","Aizopsis"
"Crassulaceae","Byrnesia"
"Crassulaceae","Cotyledon"
"Crassulaceae","Crassula"
"Crassulaceae","Cremnophila"
"Crassulaceae","Diamorpha"
"Crassulaceae","Dudleya"
"Crassulaceae","Echeveria"
"Crassulaceae","Graptopetalum"
"Crassulaceae","Hylotelephium"
"Crassulaceae","Hypagophytum"
"Crassulaceae","Jovibarba"
"Crassulaceae","Kalanchoe"
"Crassulaceae","Lenophyllum"
"Crassulaceae","Meterostachys"
"Crassulaceae","Monanthes"
"Crassulaceae","Orostachys"
"Crassulaceae","Pachyphytum"
"Crassulaceae","Parvisedum"
"Crassulaceae","Perrierosedum"
"Crassulaceae","Petrosedum"
"Crassulaceae","Phedimus"
"Crassulaceae","Pseudosedum"
"Crassulaceae","Rhodiola"
"Crassulaceae","Rosularia"
"Crassulaceae","Sedella"
"Crassulaceae","Sedum"
"Crassulaceae","Sempervivum"
"Crassulaceae","Sinocrassula"
"Crassulaceae","Tacitus"
"Crassulaceae","Thompsonella"
"Crassulaceae","Tylecodon"
"Crassulaceae","Umbilicus"
"Crassulaceae","Villadia"
"Aphanopetalaceae","Aphanopetalum"
"Tetracarpaeaceae","Tetracarpaea"
"Penthoraceae","Penthorum"
"Haloragaceae","Glischrocaryon"
"Haloragaceae","Gonocarpus"
"Haloragaceae","Haloragis"
"Haloragaceae","Haloragodendron"
"Haloragaceae","Laurembergia"
"Haloragaceae","Meziella"
"Haloragaceae","Myriophyllum"
"Haloragaceae","Proserpinaca"
"Cynomoriaceae","Cynomorium"
"Vitaceae","Acareosperma"
"Vitaceae","Ampelocissus"
"Vitaceae","Ampelopsis"
"Vitaceae","Causonis"
"Vitaceae","Cayratia"
"Vitaceae","Cissus"
"Vitaceae","Cyphostemma"
"Vitaceae","Leea"
"Vitaceae","Muscadinia"
"Vitaceae","Nekemias"
"Vitaceae","Nothocissus"
"Vitaceae","Parthenocissus"
"Vitaceae","Pterisanthes"
"Vitaceae","Pterocissus"
"Vitaceae","Rhoicissus"
"Vitaceae","Tetrastigma"
"Vitaceae","Vitis"
"Krameriaceae","Krameria"
"Zygophyllaceae","Augea"
"Zygophyllaceae","Balanites"
"Zygophyllaceae","Bulnesia"
"Zygophyllaceae","Fagonia"
"Zygophyllaceae","Guaiacum"
"Zygophyllaceae","Izozogia"
"Zygophyllaceae","Kallstroemia"
"Zygophyllaceae","Kelleronia"
"Zygophyllaceae","Larrea"
"Zygophyllaceae","Metharme"
"Zygophyllaceae","Morkillia"
"Zygophyllaceae","Neoluederitzia"
"Zygophyllaceae","Pintoa"
"Zygophyllaceae","Plectrocarpa"
"Zygophyllaceae","Porlieria"
"Zygophyllaceae","Seetzenia"
"Zygophyllaceae","Sericodes"
"Zygophyllaceae","Sisyndite"
"Zygophyllaceae","Tetraena"
"Zygophyllaceae","Tribulopis"
"Zygophyllaceae","Tribulus"
"Zygophyllaceae","Viscainoa"
"Zygophyllaceae","Zygophyllum"
"Quillajaceae","Quillaja"
"Fabaceae","Abarema"
"Fabaceae","Abrus"
"Fabaceae","Acacia"
"Fabaceae","Acaciella"
"Fabaceae","Acmispon"
"Fabaceae","Acosmium"
"Fabaceae","Acrocarpus"
"Fabaceae","Adenanthera"
"Fabaceae","Adenocarpus"
"Fabaceae","Adenodolichos"
"Fabaceae","Adenolobus"
"Fabaceae","Adenopodia"
"Fabaceae","Adesmia"
"Fabaceae","Aenictophyton"
"Fabaceae","Aeschynomene"
"Fabaceae","Afgekia"
"Fabaceae","Afzelia"
"Fabaceae","Airyantha"
"Fabaceae","Alantsilodendron"
"Fabaceae","Albizia"
"Fabaceae","Aldina"
"Fabaceae","Alexa"
"Fabaceae","Alhagi"
"Fabaceae","Alistilus"
"Fabaceae","Almaleea"
"Fabaceae","Alysicarpus"
"Fabaceae","Amblygonocarpus"
"Fabaceae","Amburana"
"Fabaceae","Amherstia"
"Fabaceae","Amicia"
"Fabaceae","Ammodendron"
"Fabaceae","Ammopiptanthus"
"Fabaceae","Amorpha"
"Fabaceae","Amphicarpaea"
"Fabaceae","Amphimas"
"Fabaceae","Amphithalea"
"Fabaceae","Anadenanthera"
"Fabaceae","Anagyris"
"Fabaceae","Anarthrophyllum"
"Fabaceae","Ancistrotropis"
"Fabaceae","Andira"
"Fabaceae","Androcalymma"
"Fabaceae","Angylocalyx"
"Fabaceae","Antheroporum"
"Fabaceae","Anthonotha"
"Fabaceae","Anthyllis"
"Fabaceae","Antopetitia"
"Fabaceae","Aotus"
"Fabaceae","Aphanocalyx"
"Fabaceae","Aphyllodium"
"Fabaceae","Apios"
"Fabaceae","Apoplanesia"
"Fabaceae","Apuleia"
"Fabaceae","Apurimacia"
"Fabaceae","Arachis"
"Fabaceae","Arapatiella"
"Fabaceae","Archidendron"
"Fabaceae","Archidendropsis"
"Fabaceae","Arcoa"
"Fabaceae","Argyrocytisus"
"Fabaceae","Argyrolobium"
"Fabaceae","Arquita"
"Fabaceae","Arthroclianthus"
"Fabaceae","Aspalathus"
"Fabaceae","Astragalus"
"Fabaceae","Ateleia"
"Fabaceae","Aubrevillea"
"Fabaceae","Augouardia"
"Fabaceae","Austrodolichos"
"Fabaceae","Austrosteenisia"
"Fabaceae","Baikiaea"
"Fabaceae","Balizia"
"Fabaceae","Balsamocarpon"
"Fabaceae","Baphia"
"Fabaceae","Baphiopsis"
"Fabaceae","Baptisia"
"Fabaceae","Barbieria"
"Fabaceae","Barnebydendron"
"Fabaceae","Batesia"
"Fabaceae","Baudouinia"
"Fabaceae","Bauhinia"
"Fabaceae","Behaimia"
"Fabaceae","Bergeronia"
"Fabaceae","Berlinia"
"Fabaceae","Biancaea"
"Fabaceae","Bikinia"
"Fabaceae","Bituminaria"
"Fabaceae","Blanchetiodendron"
"Fabaceae","Bobgunnia"
"Fabaceae","Bocoa"
"Fabaceae","Bolusafra"
"Fabaceae","Bolusanthus"
"Fabaceae","Bolusia"
"Fabaceae","Bossiaea"
"Fabaceae","Bowdichia"
"Fabaceae","Brachycylix"
"Fabaceae","Brachystegia"
"Fabaceae","Brandzeia"
"Fabaceae","Brenierea"
"Fabaceae","Brodriguesia"
"Fabaceae","Brongniartia"
"Fabaceae","Brownea"
"Fabaceae","Browneopsis"
"Fabaceae","Brya"
"Fabaceae","Bryaspis"
"Fabaceae","Burkea"
"Fabaceae","Burkilliodendron"
"Fabaceae","Bussea"
"Fabaceae","Butea"
"Fabaceae","Cadia"
"Fabaceae","Caesalpinia"
"Fabaceae","Cajanus"
"Fabaceae","Callerya"
"Fabaceae","Calliandra"
"Fabaceae","Calliandropsis"
"Fabaceae","Callistachys"
"Fabaceae","Calophaca"
"Fabaceae","Calopogonium"
"Fabaceae","Calpocalyx"
"Fabaceae","Calpurnia"
"Fabaceae","Camoensia"
"Fabaceae","Campsiandra"
"Fabaceae","Camptosema"
"Fabaceae","Campylotropis"
"Fabaceae","Canavalia"
"Fabaceae","Candolleodendron"
"Fabaceae","Caragana"
"Fabaceae","Carmichaelia"
"Fabaceae","Carrissoa"
"Fabaceae","Cascaronia"
"Fabaceae","Cassia"
"Fabaceae","Castanospermum"
"Fabaceae","Cedrelinga"
"Fabaceae","Cenostigma"
"Fabaceae","Centrolobium"
"Fabaceae","Centrosema"
"Fabaceae","Ceratonia"
"Fabaceae","Cercidium"
"Fabaceae","Cercis"
"Fabaceae","Chadsia"
"Fabaceae","Chaetocalyx"
"Fabaceae","Chamaecrista"
"Fabaceae","Chamaecytisus"
"Fabaceae","Chapmannia"
"Fabaceae","Chesneya"
"Fabaceae","Chidlowia"
"Fabaceae","Chloroleucon"
"Fabaceae","Chorizema"
"Fabaceae","Christia"
"Fabaceae","Cicer"
"Fabaceae","Cladrastis"
"Fabaceae","Clathrotropis"
"Fabaceae","Cleobulia"
"Fabaceae","Clianthus"
"Fabaceae","Clitoria"
"Fabaceae","Clitoriopsis"
"Fabaceae","Cochlianthus"
"Fabaceae","Cochliasanthus"
"Fabaceae","Codariocalyx"
"Fabaceae","Cojoba"
"Fabaceae","Collaea"
"Fabaceae","Cologania"
"Fabaceae","Colutea"
"Fabaceae","Colvillea"
"Fabaceae","Conzattia"
"Fabaceae","Copaifera"
"Fabaceae","Cordyla"
"Fabaceae","Coronilla"
"Fabaceae","Coulteria"
"Fabaceae","Coursetia"
"Fabaceae","Craibia"
"Fabaceae","Cranocarpus"
"Fabaceae","Craspedolobium"
"Fabaceae","Cratylia"
"Fabaceae","Crotalaria"
"Fabaceae","Cruddasia"
"Fabaceae","Crudia"
"Fabaceae","Cryptosepalum"
"Fabaceae","Cullen"
"Fabaceae","Cyamopsis"
"Fabaceae","Cyathostegia"
"Fabaceae","Cyclocarpa"
"Fabaceae","Cyclolobium"
"Fabaceae","Cyclopia"
"Fabaceae","Cylicodiscus"
"Fabaceae","Cymbosema"
"Fabaceae","Cynometra"
"Fabaceae","Cytisophyllum"
"Fabaceae","Cytisopsis"
"Fabaceae","Cytisus"
"Fabaceae","Dahlstedtia"
"Fabaceae","Dalbergia"
"Fabaceae","Dalbergiella"
"Fabaceae","Dalea"
"Fabaceae","Dalhousiea"
"Fabaceae","Daniellia"
"Fabaceae","Daviesia"
"Fabaceae","Decorsea"
"Fabaceae","Delonix"
"Fabaceae","Dendrolobium"
"Fabaceae","Denisophytum"
"Fabaceae","Dermatophyllum"
"Fabaceae","Derris"
"Fabaceae","Desmanthus"
"Fabaceae","Desmodiastrum"
"Fabaceae","Desmodium"
"Fabaceae","Detarium"
"Fabaceae","Dewevrea"
"Fabaceae","Dialium"
"Fabaceae","Dichilus"
"Fabaceae","Dichrostachys"
"Fabaceae","Dicorynia"
"Fabaceae","Dicraeopetalum"
"Fabaceae","Dicymbe"
"Fabaceae","Didelotia"
"Fabaceae","Dillwynia"
"Fabaceae","Dimorphandra"
"Fabaceae","Dinizia"
"Fabaceae","Dioclea"
"Fabaceae","Diphyllarium"
"Fabaceae","Diphysa"
"Fabaceae","Diplotropis"
"Fabaceae","Dipogon"
"Fabaceae","Dipteryx"
"Fabaceae","Diptychandra"
"Fabaceae","Discolobium"
"Fabaceae","Distemonanthus"
"Fabaceae","Disynstemon"
"Fabaceae","Dolichopsis"
"Fabaceae","Dolichos"
"Fabaceae","Dorycnium"
"Fabaceae","Droogmansia"
"Fabaceae","Dumasia"
"Fabaceae","Dunbaria"
"Fabaceae","Duparquetia"
"Fabaceae","Dupuya"
"Fabaceae","Dussia"
"Fabaceae","Dysolobium"
"Fabaceae","Ebenopsis"
"Fabaceae","Ebenus"
"Fabaceae","Ecuadendron"
"Fabaceae","Eleiotis"
"Fabaceae","Elephantorrhiza"
"Fabaceae","Eligmocarpus"
"Fabaceae","Elizabetha"
"Fabaceae","Eminia"
"Fabaceae","Endertia"
"Fabaceae","Endosamara"
"Fabaceae","Englerodendron"
"Fabaceae","Entada"
"Fabaceae","Entadopsis"
"Fabaceae","Enterolobium"
"Fabaceae","Eperua"
"Fabaceae","Eremosparton"
"Fabaceae","Erichsenia"
"Fabaceae","Erinacea"
"Fabaceae","Eriosema"
"Fabaceae","Errazurizia"
"Fabaceae","Erythrina"
"Fabaceae","Erythrophleum"
"Fabaceae","Erythrostemon"
"Fabaceae","Etaballia"
"Fabaceae","Euchilopsis"
"Fabaceae","Euchresta"
"Fabaceae","Eurypetalum"
"Fabaceae","Eutaxia"
"Fabaceae","Eversmannia"
"Fabaceae","Exostyles"
"Fabaceae","Eysenhardtia"
"Fabaceae","Faidherbia"
"Fabaceae","Falcataria"
"Fabaceae","Fiebrigiella"
"Fabaceae","Fillaeopsis"
"Fabaceae","Fissicalyx"
"Fabaceae","Flemingia"
"Fabaceae","Fordia"
"Fabaceae","Gagnebina"
"Fabaceae","Galactia"
"Fabaceae","Galega"
"Fabaceae","Gastrolobium"
"Fabaceae","Geissaspis"
"Fabaceae","Genista"
"Fabaceae","Genistidium"
"Fabaceae","Geoffroea"
"Fabaceae","Gilbertiodendron"
"Fabaceae","Gilletiodendron"
"Fabaceae","Gleditsia"
"Fabaceae","Gliricidia"
"Fabaceae","Glottidium"
"Fabaceae","Glycine"
"Fabaceae","Glycyrrhiza"
"Fabaceae","Gompholobium"
"Fabaceae","Goniorrhachis"
"Fabaceae","Gonocytisus"
"Fabaceae","Goodia"
"Fabaceae","Grazielodendron"
"Fabaceae","Griffonia"
"Fabaceae","Gueldenstaedtia"
"Fabaceae","Guibourtia"
"Fabaceae","Guilandina"
"Fabaceae","Guinetia"
"Fabaceae","Gymnocladus"
"Fabaceae","Haematoxylum"
"Fabaceae","Halimodendron"
"Fabaceae","Hammatolobium"
"Fabaceae","Haplormosia"
"Fabaceae","Hardenbergia"
"Fabaceae","Hardwickia"
"Fabaceae","Harleyodendron"
"Fabaceae","Harpalyce"
"Fabaceae","Havardia"
"Fabaceae","Hebestigma"
"Fabaceae","Hedysarum"
"Fabaceae","Helicotropis"
"Fabaceae","Herpyza"
"Fabaceae","Hesperalbizia"
"Fabaceae","Hesperolaburnum"
"Fabaceae","Hesperothamnus"
"Fabaceae","Heteroflorum"
"Fabaceae","Heterostemon"
"Fabaceae","Hippocrepis"
"Fabaceae","Hoffmannseggia"
"Fabaceae","Hoita"
"Fabaceae","Holocalyx"
"Fabaceae","Hosackia"
"Fabaceae","Hovea"
"Fabaceae","Humboldtia"
"Fabaceae","Humularia"
"Fabaceae","Hybosema"
"Fabaceae","Hydrochorea"
"Fabaceae","Hylodendron"
"Fabaceae","Hylodesmum"
"Fabaceae","Hymenaea"
"Fabaceae","Hymenocarpos"
"Fabaceae","Hymenolobium"
"Fabaceae","Hymenostegia"
"Fabaceae","Hypocalyptus"
"Fabaceae","Icuria"
"Fabaceae","Indigofera"
"Fabaceae","Indopiptadenia"
"Fabaceae","Inga"
"Fabaceae","Inocarpus"
"Fabaceae","Intsia"
"Fabaceae","Isoberlinia"
"Fabaceae","Isotropis"
"Fabaceae","Jacksonia"
"Fabaceae","Jacqueshuberia"
"Fabaceae","Julbernardia"
"Fabaceae","Kalappia"
"Fabaceae","Kanaloa"
"Fabaceae","Kennedia"
"Fabaceae","Koompassia"
"Fabaceae","Kotschya"
"Fabaceae","Kummerowia"
"Fabaceae","Kunstleria"
"Fabaceae","Labichea"
"Fabaceae","Lablab"
"Fabaceae","Laburnocytisus"
"Fabaceae","Laburnum"
"Fabaceae","Lackeya"
"Fabaceae","Ladeania"
"Fabaceae","Lamprolobium"
"Fabaceae","Lathyrus"
"Fabaceae","Latrobea"
"Fabaceae","Lebeckia"
"Fabaceae","Lebruniodendron"
"Fabaceae","Lecointea"
"Fabaceae","Lemurodendron"
"Fabaceae","Lemuropisum"
"Fabaceae","Lennea"
"Fabaceae","Lens"
"Fabaceae","Leonardoxa"
"Fabaceae","Leptoderris"
"Fabaceae","Leptodesmia"
"Fabaceae","Leptolobium"
"Fabaceae","Leptosema"
"Fabaceae","Leptospron"
"Fabaceae","Lespedeza"
"Fabaceae","Lessertia"
"Fabaceae","Leucaena"
"Fabaceae","Leucochloron"
"Fabaceae","Leucomphalos"
"Fabaceae","Leucostegane"
"Fabaceae","Libidibia"
"Fabaceae","Librevillea"
"Fabaceae","Liparia"
"Fabaceae","Listia"
"Fabaceae","Loesenera"
"Fabaceae","Lonchocarpus"
"Fabaceae","Lophocarpinia"
"Fabaceae","Lotononis"
"Fabaceae","Lotus"
"Fabaceae","Luetzelburgia"
"Fabaceae","Lupinus"
"Fabaceae","Luzonia"
"Fabaceae","Lysidice"
"Fabaceae","Lysiloma"
"Fabaceae","Maackia"
"Fabaceae","Machaerium"
"Fabaceae","Macrolobium"
"Fabaceae","Macropsychanthus"
"Fabaceae","Macroptilium"
"Fabaceae","Macrotyloma"
"Fabaceae","Maniltoa"
"Fabaceae","Maraniona"
"Fabaceae","Margaritolobium"
"Fabaceae","Marina"
"Fabaceae","Mariosousa"
"Fabaceae","Martiodendron"
"Fabaceae","Mastersia"
"Fabaceae","Mecopus"
"Fabaceae","Medicago"
"Fabaceae","Melanoxylum"
"Fabaceae","Melilotus"
"Fabaceae","Melliniella"
"Fabaceae","Melolobium"
"Fabaceae","Mendoravia"
"Fabaceae","Mezoneuron"
"Fabaceae","Michelsonia"
"Fabaceae","Micklethwaitia"
"Fabaceae","Microberlinia"
"Fabaceae","Microlobius"
"Fabaceae","Mildbraediodendron"
"Fabaceae","Millettia"
"Fabaceae","Mimosa"
"Fabaceae","Mimozyganthus"
"Fabaceae","Minkelersia"
"Fabaceae","Mirbelia"
"Fabaceae","Moldenhawera"
"Fabaceae","Monopteryx"
"Fabaceae","Mora"
"Fabaceae","Moullava"
"Fabaceae","Mucuna"
"Fabaceae","Muellera"
"Fabaceae","Muelleranthus"
"Fabaceae","Mundulea"
"Fabaceae","Myrocarpus"
"Fabaceae","Myrospermum"
"Fabaceae","Myroxylon"
"Fabaceae","Mysanthus"
"Fabaceae","Neoapaloxylon"
"Fabaceae","Neochevalierodendron"
"Fabaceae","Neocollettia"
"Fabaceae","Neoharmsia"
"Fabaceae","Neonotonia"
"Fabaceae","Neorautanenia"
"Fabaceae","Neorudolphia"
"Fabaceae","Nephrodesmus"
"Fabaceae","Neptunia"
"Fabaceae","Nesphostylis"
"Fabaceae","Newtonia"
"Fabaceae","Nissolia"
"Fabaceae","Nogra"
"Fabaceae","Normandiodendron"
"Fabaceae","Oddoniodendron"
"Fabaceae","Olneya"
"Fabaceae","Onobrychis"
"Fabaceae","Ononis"
"Fabaceae","Ophrestia"
"Fabaceae","Orbexilum"
"Fabaceae","Oreophysa"
"Fabaceae","Ormocarpopsis"
"Fabaceae","Ormocarpum"
"Fabaceae","Ormosia"
"Fabaceae","Ornithopus"
"Fabaceae","Orobus"
"Fabaceae","Orophaca"
"Fabaceae","Orphanodendron"
"Fabaceae","Oryxis"
"Fabaceae","Ostryocarpus"
"Fabaceae","Otholobium"
"Fabaceae","Otoptera"
"Fabaceae","Ottleya"
"Fabaceae","Oxylobium"
"Fabaceae","Oxyrhynchus"
"Fabaceae","Oxytropis"
"Fabaceae","Pachecoa"
"Fabaceae","Pachyelasma"
"Fabaceae","Pachyrhizus"
"Fabaceae","Painteria"
"Fabaceae","Paloue"
"Fabaceae","Paloveopsis"
"Fabaceae","Panurea"
"Fabaceae","Paracalyx"
"Fabaceae","Paraderris"
"Fabaceae","Paramachaerium"
"Fabaceae","Paramacrolobium"
"Fabaceae","Parapiptadenia"
"Fabaceae","Pararchidendron"
"Fabaceae","Paraserianthes"
"Fabaceae","Parkia"
"Fabaceae","Parkinsonia"
"Fabaceae","Parochetus"
"Fabaceae","Parosela"
"Fabaceae","Parryella"
"Fabaceae","Pearsonia"
"Fabaceae","Pediomelum"
"Fabaceae","Pellegriniodendron"
"Fabaceae","Peltiera"
"Fabaceae","Peltogyne"
"Fabaceae","Peltophorum"
"Fabaceae","Pentaclethra"
"Fabaceae","Periandra"
"Fabaceae","Pericopsis"
"Fabaceae","Petaladenium"
"Fabaceae","Petalostemon"
"Fabaceae","Petalostylis"
"Fabaceae","Peteria"
"Fabaceae","Petteria"
"Fabaceae","Phanera"
"Fabaceae","Phaseolus"
"Fabaceae","Phylacium"
"Fabaceae","Phyllodium"
"Fabaceae","Phyllota"
"Fabaceae","Phylloxylon"
"Fabaceae","Physostigma"
"Fabaceae","Pickeringia"
"Fabaceae","Pictetia"
"Fabaceae","Piptadenia"
"Fabaceae","Piptadeniastrum"
"Fabaceae","Piptadeniopsis"
"Fabaceae","Piptanthus"
"Fabaceae","Piscidia"
"Fabaceae","Pisum"
"Fabaceae","Pithecellobium"
"Fabaceae","Pityrocarpa"
"Fabaceae","Plagiocarpus"
"Fabaceae","Plagiosiphon"
"Fabaceae","Plathymenia"
"Fabaceae","Platycelyphium"
"Fabaceae","Platycyamus"
"Fabaceae","Platymiscium"
"Fabaceae","Platypodium"
"Fabaceae","Platysepalum"
"Fabaceae","Podalyria"
"Fabaceae","Podocytisus"
"Fabaceae","Poecilanthe"
"Fabaceae","Poeppigia"
"Fabaceae","Poincianella"
"Fabaceae","Poiretia"
"Fabaceae","Poissonia"
"Fabaceae","Poitea"
"Fabaceae","Polhillia"
"Fabaceae","Polystemonanthus"
"Fabaceae","Pomaria"
"Fabaceae","Pongamiopsis"
"Fabaceae","Prioria"
"Fabaceae","Prosopidastrum"
"Fabaceae","Prosopis"
"Fabaceae","Pseudarthria"
"Fabaceae","Pseudeminia"
"Fabaceae","Pseudoeriosema"
"Fabaceae","Pseudomacrolobium"
"Fabaceae","Pseudopiptadenia"
"Fabaceae","Pseudoprosopis"
"Fabaceae","Pseudovigna"
"Fabaceae","Psophocarpus"
"Fabaceae","Psoralea"
"Fabaceae","Psoralidium"
"Fabaceae","Psorothamnus"
"Fabaceae","Pterocarpus"
"Fabaceae","Pterodon"
"Fabaceae","Pterogyne"
"Fabaceae","Pterolobium"
"Fabaceae","Ptychosema"
"Fabaceae","Pueraria"
"Fabaceae","Pultenaea"
"Fabaceae","Pycnospora"
"Fabaceae","Pyranthus"
"Fabaceae","Rafnia"
"Fabaceae","Ramirezella"
"Fabaceae","Ramorinoa"
"Fabaceae","Recordoxylon"
"Fabaceae","Retama"
"Fabaceae","Rhodopis"
"Fabaceae","Rhynchosia"
"Fabaceae","Rhynchotropis"
"Fabaceae","Riedeliella"
"Fabaceae","Robinia"
"Fabaceae","Robynsiophyton"
"Fabaceae","Rothia"
"Fabaceae","Rupertia"
"Fabaceae","Sakoanala"
