accsym,syn,sym,taxon
NAAM,ABAM4,ABAM4,Abama americana
NAAM,ABMO3,ABMO3,Abama montana
ABELI,,ABELI,Abelia
ABGR4,,ABGR4,Abelia ×grandiflora
ABELM,,ABELM,Abelmoschus
ABES,,ABES,Abelmoschus esculentus
ABMA9,,ABMA9,Abelmoschus manihot
ABMO,,ABMO,Abelmoschus moschatus
DOCA3,ABCA4,ABCA4,Aberia caffra
DOHE2,ABGA,ABGA,Aberia gardneri
ABIES,,ABIES,Abies
ABAL3,,ABAL3,Abies alba
ABAM,,ABAM,Abies amabilis
ABLAA,ABAR2,ABAR2,Abies arizonica
ABBA,,ABBA,Abies balsamea
ABLAL,ABBAL,ABBAL,Abies balsamea ssp. lasiocarpa
ABBAB,,ABBAB,Abies balsamea var. balsamea
ABLAL,ABBAF,ABBAF,Abies balsamea var. fallax
ABBAP,,ABBAP,Abies balsamea var. phanerolepis
ABLAL,ABBI3,ABBI3,Abies bifolia
ABBR,,ABBR,Abies bracteata
ABCO,,ABCO,Abies concolor
ABCO,ABCOC,ABCOC,Abies concolor var. concolor
ABLO,ABCOL,ABCOL,Abies concolor var. lowiana
ABFI,,ABFI,Abies firma
ABFR,,ABFR,Abies fraseri
ABGR,,ABGR,Abies grandis
ABGR,ABGRJ,ABGRJ,Abies grandis f. johnsonii
ABGR,ABGRI2,ABGRI2,Abies grandis ssp. idahoensis
ABGR,ABGRG,ABGRG,Abies grandis var. grandis
ABGR,ABGRI,ABGRI,Abies grandis var. idahoensis
ABGU,,ABGU,Abies guatemalensis
ABHO,,ABHO,Abies homolepis
ABLA,,ABLA,Abies lasiocarpa
ABLAL,ABLAB,ABLAB,Abies lasiocarpa ssp. bifolia
ABLAA,,ABLAA,Abies lasiocarpa var. arizonica
ABLAL,ABLAB2,ABLAB2,Abies lasiocarpa var. bifolia
ABLAL,,ABLAL,Abies lasiocarpa var. lasiocarpa
ABLO,,ABLO,Abies lowiana
ABMA,,ABMA,Abies magnifica
ABMAS,ABMAS2,ABMAS2,Abies magnifica ssp. shastensis
ABMAS,ABMAC,ABMAC,Abies magnifica var. critchfieldii
ABMAM,,ABMAM,Abies magnifica var. magnifica
ABMAS,,ABMAS,Abies magnifica var. shastensis
ABPR,ABNO,ABNO,Abies nobilis
ABPR,,ABPR,Abies procera
ABLAL,ABSU,ABSU,Abies subalpina
ABVE2,,ABVE2,Abies veitchii
ABBR,ABVE,ABVE,Abies venusta
ABBAP,ABPH,ABPH,Abies ×phanerolepis
ABMAS,ABSH,ABSH,Abies ×shastensis
ABIET,,ABIET,Abietinella
ABAB70,,ABAB70,Abietinella abietina
ABILD,,ABILD,Abildgaardia
ABOV,ABMO4,ABMO4,Abildgaardia monostachya
ABOV,,ABOV,Abildgaardia ovata
ABSA2,ABSA4,ABSA4,Abortopetalum sandwicense
TRDE8,ABDE,ABDE,Abrodictyum dentatum
TRSE9,ABSE,ABSE,Abrodictyum setigerum
ABROM,,ABROM,Abroma
ABAU3,ABAU2,ABAU2,Abroma augusta
ABAU3,,ABAU3,Abroma augustum
ABRON,,ABRON,Abronia
ABUMB,ABAC,ABAC,Abronia acutalata
ABUMU,ABAL2,ABAL2,Abronia alba
ABAL,,ABAL,Abronia alpina
ABAM2,,ABAM2,Abronia ameliae
ABAM3,,ABAM3,Abronia ammophila
ABAN,,ABAN,Abronia angustifolia
ABAN,ABANA,ABANA,Abronia angustifolia var. arizonica
ABAR,,ABAR,Abronia argillosa
ABBI,,ABBI,Abronia bigelovii
ABBO,,ABBO,Abronia bolackii
ABUMB,ABBR2,ABBR2,Abronia breviflora
ABCA,,ABCA,Abronia carletonii
TRCAC7,ABCA3,ABCA3,Abronia carnea
TRCR5,ABCR,ABCR,Abronia crux-maltae
TRMI6,ABCY2,ABCY2,Abronia cycloptera
ABEL,,ABEL,Abronia elliptica
ABTU,ABEX,ABEX,Abronia exalata
ABAM3,ABFE,ABFE,Abronia fendleri
ABFR2,,ABFR2,Abronia fragrans
ABEL,ABFRE2,ABFRE2,Abronia fragrans var. elliptica
ABFR2,ABFRG2,ABFRG2,Abronia fragrans var. glaucescens
ABGR2,,ABGR2,Abronia gracilis
ABIN2,,ABIN2,Abronia insularis
ABLA2,,ABLA2,Abronia latifolia
ABMA5,,ABMA5,Abronia macrocarpa
ABMA2,,ABMA2,Abronia maritima
ABME,,ABME,Abronia mellifera
TRMI6,ABMI3,ABMI3,Abronia micrantha
TRMI6,ABMIP,ABMIP,Abronia micrantha var. pedunculata
ABMI2,,ABMI2,Abronia minor
ABNA,,ABNA,Abronia nana
ABNAC,ABNAC2,ABNAC2,Abronia nana ssp. covillei
ABNAC,,ABNAC,Abronia nana var. covillei
ABNAH,,ABNAH,Abronia nana var. harrisii
ABNAN,ABNAL,ABNAL,Abronia nana var. lanciformis
ABNAN,,ABNAN,Abronia nana var. nana
ABNE,,ABNE,Abronia neurophylla
ABTU,ABOR2,ABOR2,Abronia orbiculata
ABVIA,ABPI2,ABPI2,Abronia pinetorum
ABUMU,ABPL,ABPL,Abronia platyphylla
ABPO,,ABPO,Abronia pogonantha
ABEL,ABPU2,ABPU2,Abronia pumila
ABEL,ABRA,ABRA,Abronia ramosa
ABEL,ABSA3,ABSA3,Abronia salsa
ABAN,ABTO,ABTO,Abronia torreyi
ABTU,,ABTU,Abronia turbinata
ABUM,,ABUM,Abronia umbellata
ABUMB,ABUMA2,ABUMA2,Abronia umbellata ssp. acutalata
ABUMU,ABUMA4,ABUMA4,Abronia umbellata ssp. alba
ABUMB,,ABUMB,Abronia umbellata ssp. breviflora
ABUMU,ABUMP,ABUMP,Abronia umbellata ssp. platyphylla
ABUMU,,ABUMU,Abronia umbellata ssp. umbellata
ABUMU,ABUMV,ABUMV,Abronia umbellata ssp. variabilis
ABUMB,ABUMA3,ABUMA3,Abronia umbellata var. acutalata
ABUMB,ABUMB2,ABUMB2,Abronia umbellata var. breviflora
ABUMU,ABVA,ABVA,Abronia variabilis
ABVI,,ABVI,Abronia villosa
ABVIA,,ABVIA,Abronia villosa var. aurita
ABVIV,,ABVIV,Abronia villosa var. villosa
ABROT,,ABROT,Abrothallus
ABBE2,,ABBE2,Abrothallus bertianus
ABBR3,,ABBR3,Abrothallus bryoriarum
ABCE,,ABCE,Abrothallus cetrariae
ABCL,,ABCL,Abrothallus cladoniae
PHOXO,ABOX,ABOX,Abrothallus oxysporus
ABPA5,,ABPA5,Abrothallus parmeliarum
ABPE2,,ABPE2,Abrothallus peyritschii
ABPR5,,ABPR5,Abrothallus prodiens
LIMA15,ABUS,ABUS,Abrothallus usneae
ABWE,,ABWE,Abrothallus welwitschii
ABRUS,,ABRUS,Abrus
ABPR3,ABAB2,ABAB2,Abrus abrus
ABPR3,,ABPR3,Abrus precatorius
ABSCO,,ABSCO,Absconditella
ABSP,,ABSP,Absconditella sphagnorum
ABTR3,,ABTR3,Absconditella trivialis
ABUTI,,ABUTI,Abutilon
ABAB,,ABAB,Abutilon abutiloides
ABTH,ABAB3,ABAB3,Abutilon abutilon
ABAB,ABAM5,ABAM5,Abutilon americanum
ABINA,ABASA,ABASA,Abutilon asiaticum var. albescens
ABAU,,ABAU,Abutilon auritum
ABTH,ABAV,ABAV,Abutilon avicennae
ABBE,,ABBE,Abutilon berlandieri
ABBE,ABCA2,ABCA2,Abutilon californicum
ABHU,ABCO2,ABCO2,Abutilon commutatum
HECR3,ABCR2,ABCR2,Abutilon crispum
ABER,,ABER,Abutilon eremitopetalum
ABFR3,,ABFR3,Abutilon fruticosum
ABGL,,ABGL,Abutilon glabriflorum
ABGR3,,ABGR3,Abutilon grandifolium
ABHI,,ABHI,Abutilon hirtum
ABHU,,ABHU,Abutilon hulseanum
ABHY,,ABHY,Abutilon hypoleucum
ABIN,,ABIN,Abutilon incanum
ABIN,ABINI,ABINI,Abutilon incanum ssp. incanum
ABIN,ABINP,ABINP,Abutilon incanum ssp. pringlei
ABIN3,,ABIN3,Abutilon indicum
ABINA,,ABINA,Abutilon indicum ssp. albescens
ABAB,ABJA,ABJA,Abutilon jacquinii
ABAB,ABLI,ABLI,Abutilon lignosum
ABMA3,,ABMA3,Abutilon malacum
ALHO4,ABMA7,ABMA7,Abutilon marshii
ABMA8,,ABMA8,Abutilon mauritianum
ABME3,,ABME3,Abutilon megapotamicum
ABME2,,ABME2,Abutilon menziesii
ABMO2,,ABMO2,Abutilon mollicomum
HONE,ABNE2,ABNE2,Abutilon newberryi
ABPA,,ABPA,Abutilon palmeri
ABPA2,,ABPA2,Abutilon parishii
ABPA3,,ABPA3,Abutilon parvulum
ABHU,ABPA4,ABPA4,Abutilon pauciflorum
ABPE,,ABPE,Abutilon permolle
ABIN,ABPR4,ABPR4,Abutilon pringlei
ABRE,,ABRE,Abutilon reventum
ABSA2,,ABSA2,Abutilon sandwicense
ABSA2,ABSAW,ABSAW,Abutilon sandwicense var. welchii
ABMO2,ABSO,ABSO,Abutilon sonorae
ABFR3,ABTE,ABTE,Abutilon texense
ABTH,,ABTH,Abutilon theophrasti
ABTH2,,ABTH2,Abutilon thurberi
ABTR,ABTR2,ABTR2,Abutilon triquetrum
ABTR,,ABTR,Abutilon trisulcatum
PSUM2,ABUM2,ABUM2,Abutilon umbellatum
BAEG6,ABVI2,ABVI2,Abutilon virginianum
ABWR,,ABWR,Abutilon wrightii
ACACI,,ACACI,Acacia
ACAB2,,ACAB2,Acacia abyssinica
VAAB,ACAB2,ACAB2,Acacia abyssinica
ACABC2,,ACABC2,Acacia abyssinica ssp. calophylla
VAABC,ACABC2,ACABC2,Acacia abyssinica ssp. calophylla
ACAD,ACAC6,ACAC6,Acacia accola
ACAC7,,ACAC7,Acacia acinacea
ACAC8,,ACAC8,Acacia aciphylla
ACAC9,,ACAC9,Acacia aculeatissima
ACAC10,,ACAC10,Acacia acuminata
ACAD,,ACAD,Acacia adunca
ACAL16,,ACAL16,Acacia alata
FAAL,ACAL15,ACAL15,Acacia albida
VARI,ACAM3,ACAM3,Acacia amentacea
ACAM9,,ACAM9,Acacia ampliceps
ACAN4,,ACAN4,Acacia anegadensis
VAAN6,ACAN4,ACAN4,Acacia anegadensis
ACAN10,,ACAN10,Acacia aneura
ACAN,,ACAN,Acacia angustissima
ACAN11,ACAN,ACAN,Acacia angustissima
ACANC,,ACANC,Acacia angustissima var. chisosiana
ACANC3,ACANC,ACANC,Acacia angustissima var. chisosiana
ACANH2,ACANC2,ACANC2,Acacia angustissima var. cuspidata
ACANH,,ACANH,Acacia angustissima var. hirta
ACANH2,ACANH,ACANH,Acacia angustissima var. hirta
ACANL,,ACANL,Acacia angustissima var. leucothrix
ACLE10,ACANL,ACANL,Acacia angustissima var. leucothrix
ACANS,,ACANS,Acacia angustissima var. shrevei
ACSH2,ACANS,ACANS,Acacia angustissima var. shrevei
ACANS2,,ACANS2,Acacia angustissima var. suffrutescens
ACSU12,ACANS2,ACANS2,Acacia angustissima var. suffrutescens
ACANH2,ACANT4,ACANT4,Acacia angustissima var. texensis
VANI4,ACAR11,ACAR11,Acacia arabica
ACAR12,,ACAR12,Acacia arenaria
VAAR6,ACAR12,ACAR12,Acacia arenaria
MIAR4,ACAR3,ACAR3,Acacia arenosa
ACPA8,ACAR15,ACAR15,Acacia armata
ACAU,,ACAU,Acacia auriculiformis
ACBA,,ACBA,Acacia baileyana
ACBE6,,ACBE6,Acacia beckleri
ACBE,,ACBE,Acacia berlandieri
SEBE2,ACBE,ACBE,Acacia berlandieri
ACBI5,,ACBI5,Acacia binervata
ACBO4,,ACBO4,Acacia boomanii
ACBR3,,ACBR3,Acacia brachybotrya
ACCI6,ACBR4,ACBR4,Acacia brachystachya
ACBU3,,ACBU3,Acacia buxifolia
ACCA23,,ACCA23,Acacia caesiella
ACCA24,,ACCA24,Acacia calamifolia
ACCA25,,ACCA25,Acacia cambagei
SEPOC,ACCA26,ACCA26,Acacia campylacantha
ACCA27,,ACCA27,Acacia cardiophylla
ACCA21,,ACCA21,Acacia catechu
SECA28,ACCA21,ACCA21,Acacia catechu
ACCA35,,ACCA35,Acacia caven
VACA,ACCA35,ACCA35,Acacia caven
VACA,ACCA28,ACCA28,Acacia cavenia
ACCH8,ACCH7,ACCH7,Acacia chinchellensis
ACCH8,,ACCH8,Acacia chinchillensis
ACCH,,ACCH,Acacia choriophylla
VACH3,ACCH,ACCH,Acacia choriophylla
ACCI6,,ACCI6,Acacia cibaria
ACST8,ACCL2,ACCL2,Acacia clivicola
ACCO15,,ACCO15,Acacia cognata
ACCO16,,ACCO16,Acacia colletioides
ACCO24,,ACCO24,Acacia collinsii
VACO8,ACCO24,ACCO24,Acacia collinsii
VACO8,ACCOP3,ACCOP3,Acacia collinsii var. pseudomyrmex
ACCO,,ACCO,Acacia confusa
ACCO17,,ACCO17,Acacia conspersa
ACCO2,,ACCO2,Acacia constricta
VACO9,ACCO2,ACCO2,Acacia constricta
ACCOC,,ACCOC,Acacia constricta var. constricta
VACO9,ACCOC,ACCOC,Acacia constricta var. constricta
ACCOP9,,ACCOP9,Acacia constricta var. paucispina
VACO9,ACCOP9,ACCOP9,Acacia constricta var. paucispina
VAVE,ACCOV,ACCOV,Acacia constricta var. vernicosa
ACCO18,,ACCO18,Acacia continua
ACCO5,,ACCO5,Acacia cornigera
VACO10,ACCO5,ACCO5,Acacia cornigera
ACCR2,,ACCR2,Acacia craspedocarpa
ACCU4,,ACCU4,Acacia cultriformis
ACCU5,,ACCU5,Acacia cupularis
ACANH2,ACCU,ACCU,Acacia cuspidata
ACSA,ACCY,ACCY,Acacia cyanophylla
ACAC7,ACCY3,ACCY3,Acacia cyclophylla
ACCY2,,ACCY2,Acacia cyclops
ACDA5,,ACDA5,Acacia davyi
VADA3,ACDA5,ACDA5,Acacia davyi
ACDE3,,ACDE3,Acacia dealbata
ACDE11,,ACDE11,Acacia deanei
ACDEP2,,ACDEP2,Acacia deanei ssp. paucijuga
ACDE12,,ACDE12,Acacia decora
ACDE,,ACDE,Acacia decurrens
ACDE3,ACDED,ACDED,Acacia decurrens var. dealbata
ACME80,ACDEM,ACDEM,Acacia decurrens var. mollis
SEME9,ACDE13,ACDE13,Acacia detinens
ACDI7,,ACDI7,Acacia dietrichiana
ACDI8,,ACDI8,Acacia difformis
ACGE8,ACDI9,ACDI9,Acacia diffusa
ACDO2,,ACDO2,Acacia doratoxylon
ACDR2,,ACDR2,Acacia drummondii
ACDU3,,ACDU3,Acacia dunnii
ACEB2,,ACEB2,Acacia eburnea
VAEB,ACEB2,ACEB2,Acacia eburnea
ACEL,,ACEL,Acacia elata
ACER4,,ACER4,Acacia erioloba
ACER5,,ACER5,Acacia erubescens
SEER8,ACER5,ACER5,Acacia erubescens
ACES2,,ACES2,Acacia estrophiolata
ACEX3,,ACEX3,Acacia extensa
ACFA,,ACFA,Acacia farnesiana
VAFA,ACFA,ACFA,Acacia farnesiana
VAFA,ACFAF2,ACFAF2,Acacia farnesiana var. farnesiana
ACFI4,,ACFI4,Acacia fimbriata
ACFL6,,ACFL6,Acacia floribunda
ACGA3,,ACGA3,Acacia galpinii
SEGA4,ACGA3,ACGA3,Acacia galpinii
ACGE8,,ACGE8,Acacia genistifolia
ACGE7,,ACGE7,Acacia gerrardii
VAGE2,ACGE7,ACGE7,Acacia gerrardii
VAGE2,ACGEN2,ACGEN2,Acacia gerrardii ssp. negevensis
VAGE2,ACGEN,ACGEN,Acacia gerrardii var. najdensis
ACGL5,,ACGL5,Acacia gladiiformis
ACGL6,,ACGL6,Acacia glandulicarpa
ACGL4,,ACGL4,Acacia glauca
ACGL7,ACGL4,ACGL4,Acacia glauca
ACGO2,,ACGO2,Acacia goetzei
SEGO,ACGO2,ACGO2,Acacia goetzei
ACGR9,,ACGR9,Acacia gracilifolia
ACHE12,ACGR10,ACGR10,Acacia graffiana
ACGR,,ACGR,Acacia greggii
SEGR4,ACGR,ACGR,Acacia greggii
SEGR4,ACGRA,ACGRA,Acacia greggii var. arizonica
ACGRG3,,ACGRG3,Acacia greggii var. greggii
SEGR4,ACGRG3,ACGRG3,Acacia greggii var. greggii
ACGRW,,ACGRW,Acacia greggii var. wrightii
SEWR4,ACGRW,ACGRW,Acacia greggii var. wrightii
ACHA4,,ACHA4,Acacia hakeoides
ACHE8,,ACHE8,Acacia hebeclada
VAHE2,ACHE8,ACHE8,Acacia hebeclada
ACHE12,,ACHE12,Acacia hemiteles
ACANH2,ACHI3,ACHI3,Acacia hirta
ACSH2,ACHIL2,ACHIL2,Acacia hirta ssp. lemmonii
ACHO2,,ACHO2,Acacia holosericea
ACOM,ACHO3,ACHO3,Acacia homalophylla
ACHO4,,ACHO4,Acacia horrida
VAHO,ACHO4,ACHO4,Acacia horrida
ACHO5,,ACHO5,Acacia howittii
ACIM4,,ACIM4,Acacia imbricata
ACIM5,,ACIM5,Acacia implexa
ACIR,,ACIR,Acacia irrorata
ACIT2,,ACIT2,Acacia iteaphylla
ACIX2,,ACIX2,Acacia ixiophylla
ACJI,,ACJI,Acacia jibberdingensis
ACJO2,,ACJO2,Acacia jonesii
ACUL2,ACJU2,ACJU2,Acacia juniperina
ACKA2,,ACKA2,Acacia karroo
VAKA,ACKA2,ACKA2,Acacia karroo
ACKO,ACKA,ACKA,Acacia kauaiensis
ACKO,,ACKO,Acacia koa
ACKO,ACKOH,ACKOH,Acacia koa var. hawaiiensis
ACKO,ACKOL,ACKOL,Acacia koa var. lanaiensis
ACKO,ACKOW,ACKOW,Acacia koa var. waimeae
ACKO2,,ACKO2,Acacia koaia
ACLA10,,ACLA10,Acacia lanuginophylla
ACLA10,ACLA11,ACLA11,Acacia lanuginosa
ACLA6,,ACLA6,Acacia lasiocalyx
ACLO,ACLA,ACLA,Acacia latifolia
ACLE7,,ACLE7,Acacia leiophylla
ACSH2,ACLE3,ACLE3,Acacia lemmonii
ACLI8,,ACLI8,Acacia ligulata
ACLO8,ACLI4,ACLI4,Acacia linearis
ACLI5,,ACLI5,Acacia lineata
ACLO,,ACLO,Acacia longifolia
ACLOS3,,ACLOS3,Acacia longifolia ssp. sophorae
ACLOS3,ACLOS2,ACLOS2,Acacia longifolia var. sophorae
ACLO8,,ACLO8,Acacia longissima
ACSU11,ACLU2 ,ACLU2 ,Acacia luehmannii
ACMA,,ACMA,Acacia macracantha
VAMA4,ACMA,ACMA,Acacia macracantha
ACMA11,,ACMA11,Acacia maidenii
SERO,ACMA2,ACMA2,Acacia malacophylla
ACMA12,,ACMA12,Acacia mangium
ACME80,,ACME80,Acacia mearnsii
ACME,,ACME,Acacia melanoxylon
ACME8,,ACME8,Acacia mellifera
SEME9,ACME8,ACME8,Acacia mellifera
ACMED,,ACMED,Acacia mellifera ssp. detinens
SEME9,ACMED,ACMED,Acacia mellifera ssp. detinens
ACME6,,ACME6,Acacia merrallii
ACMI5,,ACMI5,Acacia microbotrya
ACMI6,,ACMI6,Acacia microcarpa
ACMI,,ACMI,Acacia millefolia
MAMI9,ACMI,ACMI,Acacia millefolia
VAFA,ACMI4,ACMI4,Acacia minuta
VAFA,ACMID,ACMID,Acacia minuta ssp. densiflora
ACMO9,,ACMO9,Acacia montana
ACMU6,,ACMU6,Acacia mucronata
ACMU7,,ACMU7,Acacia multispicata
ACMU,,ACMU,Acacia muricata
SEMU4,ACMU,ACMU,Acacia muricata
ACMY2,,ACMY2,Acacia myrtifolia
ACNE4,,ACNE4,Acacia neovernicosa
VAVE,ACNE4,ACNE4,Acacia neovernicosa
ACNE8,,ACNE8,Acacia neriifolia
ACNI8,,ACNI8,Acacia nigrescens
SENI4,ACNI8,ACNI8,Acacia nigrescens
ACNI2,,ACNI2,Acacia nilotica
VANI4,ACNI2,ACNI2,Acacia nilotica
VANIA,ACNIA2,ACNIA2,Acacia nilotica ssp. adansonii
ACNIA3,,ACNIA3,Acacia nilotica ssp. adstringens
VANIA,ACNIA3,ACNIA3,Acacia nilotica ssp. adstringens
ACNIK2,,ACNIK2,Acacia nilotica ssp. kraussiana
VANIK,ACNIK2,ACNIK2,Acacia nilotica ssp. kraussiana
ACNO5,,ACNO5,Acacia notabilis
ACOM,,ACOM,Acacia omalophylla
ACOS2,,ACOS2,Acacia oswaldii
ACOX3,,ACOX3,Acacia oxycedrus
ACPA15,,ACPA15,Acacia pachyceras
VAGE2,ACPA15,ACPA15,Acacia pachyceras
ACPAN,,ACPAN,Acacia pachyceras var. najdensis
VAGE2,ACPAN,ACPAN,Acacia pachyceras var. najdensis
ACPA16,,ACPA16,Acacia papyrocarpa
ACPA8,,ACPA8,Acacia paradoxa
ACPA81,,ACPA81,Acacia parramattensis
ACPA9,,ACPA9,Acacia parvipinnula
ACDEP2,ACPA10,ACPA10,Acacia paucijuga
ACPE8,,ACPE8,Acacia pendula
SEPE10,ACPE14,ACPE14,Acacia pennata
ACPE9,,ACPE9,Acacia pennatula
VAPE4,ACPE9,ACPE9,Acacia pennatula
ACPE10,,ACPE10,Acacia penninervis
ACPE11,,ACPE11,Acacia pentagona
SEPE10,ACPE11,ACPE11,Acacia pentagona
ACPI,,ACPI,Acacia pinetorum
VAFAP,ACPI,ACPI,Acacia pinetorum
ACPO2,,ACPO2,Acacia podalyriifolia
ACPO3,,ACPO3,Acacia polyacantha
SEPO3,ACPO3,ACPO3,Acacia polyacantha
ACPOC2,,ACPOC2,Acacia polyacantha ssp. campylacantha
SEPOC,ACPOC2,ACPOC2,Acacia polyacantha ssp. campylacantha
ACPR6,,ACPR6,Acacia pravissima
ACPR3,,ACPR3,Acacia prominens
ACPR4,,ACPR4,Acacia pruinosa
ACPU3,,ACPU3,Acacia pulchella
ACPY3,,ACPY3,Acacia pycnantha
ACPY4,,ACPY4,Acacia pyrifolia
ACQU2,,ACQU2,Acacia quornensis
ACRA5,,ACRA5,Acacia ramulosa
ACRE9,,ACRE9,Acacia redolens
ACRE8,,ACRE8,Acacia rehmanniana
VARE2,ACRE8,ACRE8,Acacia rehmanniana
ACRE2,,ACRE2,Acacia retinodes
ACRE4,,ACRE4,Acacia retusa
SEWE4,ACRE4,ACRE4,Acacia retusa
ACRI10,,ACRI10,Acacia richii
ACRI6,,ACRI6,Acacia rigens
ACRI,,ACRI,Acacia rigidula
VARI,ACRI,ACRI,Acacia rigidula
SEWE4,ACRI4,ACRI4,Acacia riparia
ACRI7,,ACRI7,Acacia rivalis
ACRO5,,ACRO5,Acacia robusta
VARO,ACRO5,ACRO5,Acacia robusta
ACRO,,ACRO,Acacia roemeriana
SERO,ACRO,ACRO,Acacia roemeriana
ACRO6,,ACRO6,Acacia rossei
ACRU11,,ACRU11,Acacia rubida
ACRU12,,ACRU12,Acacia rupicola
ACSA9,,ACSA9,Acacia saliciformis
ACSA10,,ACSA10,Acacia salicina
ACSA,,ACSA,Acacia saligna
ACSC2,,ACSC2,Acacia schaffneri
VASC4,ACSC2,ACSC2,Acacia schaffneri
ACSCB,,ACSCB,Acacia schaffneri var. bravoensis
VABR4,ACSCB,ACSCB,Acacia schaffneri var. bravoensis
ACSCS2,,ACSCS2,Acacia schaffneri var. schaffneri
VASC4,ACSCS2,ACSCS2,Acacia schaffneri var. schaffneri
ACSC,,ACSC,Acacia schottii
VASC5,ACSC,ACSC,Acacia schottii
ACSC9,,ACSC9,Acacia schweinfurthii
SESC7,ACSC9,ACSC9,Acacia schweinfurthii
ACSC10,,ACSC10,Acacia sclerosperma
ACSC12,,ACSC12,Acacia scleroxyla
SESK,ACSC12,ACSC12,Acacia scleroxyla
ACSE6,,ACSE6,Acacia senegal
SESE16,ACSE6,ACSE6,Acacia senegal
ACSER2,,ACSER2,Acacia senegal var. rostrata
SESER,ACSER2,ACSER2,Acacia senegal var. rostrata
ACVI7,ACSE9,ACSE9,Acacia sentis
ACSE7,,ACSE7,Acacia seyal
VASE,ACSE7,ACSE7,Acacia seyal
ACSI7,,ACSI7,Acacia sieberiana
VASI3,ACSI7,ACSI7,Acacia sieberiana
ACSIW2,,ACSIW2,Acacia sieberiana var. woodii
VASIW,ACSIW2,ACSIW2,Acacia sieberiana var. woodii
ACSI5,,ACSI5,Acacia silvestris
VAFA,ACSM,ACSM,Acacia smallii
ACSO4,,ACSO4,Acacia sophorae
ACPA16,ACSO3,ACSO3,Acacia sowdenii
ACSP9,,ACSP9,Acacia spectabilis
ACSP4,,ACSP4,Acacia sphaerocephala
VASP2,ACSP4,ACSP4,Acacia sphaerocephala
ACST5,,ACST5,Acacia stenophylla
ACST8,,ACST8,Acacia stowardii
ACST6,,ACST6,Acacia stricta
ACSU9,,ACSU9,Acacia suaveolens
ACSU11,,ACSU11,Acacia sublanata
ACSU10,,ACSU10,Acacia subulata
SEPO3,ACSU2,ACSU2,Acacia suma
ACSW2,,ACSW2,Acacia swazica
VASW,ACSW2,ACSW2,Acacia swazica
ACTE9,,ACTE9,Acacia terminalis
ACTE8,,ACTE8,Acacia tetragonophylla
ACANH2,ACTE2,ACTE2,Acacia texensis
ACTO6,,ACTO6,Acacia tortilis
VATO,ACTO6,ACTO6,Acacia tortilis
ACTOH2,,ACTOH2,Acacia tortilis ssp. heteracantha
VATOH,ACTOH2,ACTOH2,Acacia tortilis ssp. heteracantha
ACTOS2,,ACTOS2,Acacia tortilis ssp. spirocarpa
VATOS,ACTOS2,ACTOS2,Acacia tortilis ssp. spirocarpa
ACTO,,ACTO,Acacia tortuosa
VATO2,ACTO,ACTO,Acacia tortuosa
ACTR6,,ACTR6,Acacia trineura
ACUL2,,ACUL2,Acacia ulicifolia
ACUN2,,ACUN2,Acacia uncinata
ACUN3,,ACUN3,Acacia undulifolia
ACUR2,,ACUR2,Acacia urophylla
SESE16,ACVE3,ACVE3,Acacia verek
ACVE5,,ACVE5,Acacia verniciflua
VAVE,ACVE,ACVE,Acacia vernicosa
ACVE2,,ACVE2,Acacia verticillata
ACVI7,,ACVI7,Acacia victoriae
ACGL7,ACVI8,ACVI8,Acacia villosa
ACVI9,,ACVI9,Acacia viscidula
ACVI10,,ACVI10,Acacia visco
SEVI11,ACVI10,ACVI10,Acacia visco
ACVO,,ACVO,Acacia vogeliana
SEVO2,ACVO,ACVO,Acacia vogeliana
ACWA3,,ACWA3,Acacia wattsiana
SEWE4,ACWE,ACWE,Acacia westiana
ACWI2,,ACWI2,Acacia willardiana
MAWI,ACWI2,ACWI2,Acacia willardiana
SEWR4,ACWR,ACWR,Acacia wrightii
ACXA3,,ACXA3,Acacia xanthophloea
VAXA,ACXA3,ACXA3,Acacia xanthophloea
ACEM,,ACEM,Acacia ×emoryana
SEEM3,ACEM,ACEM,Acacia ×emoryana
ACACI2,,ACACI2,Acaciella
ACAN11,,ACAN11,Acaciella angustissima
ACANC3,,ACANC3,Acaciella angustissima var. chisosiana
ACANH2,,ACANH2,Acaciella angustissima var. hirta
ACANH2,ACANT5,ACANT5,Acaciella angustissima var. texensis
ACGL7,,ACGL7,Acaciella glauca
ACANH2,ACHI4,ACHI4,Acaciella hirta
ACLE10,,ACLE10,Acaciella leucothrix
ACSH2,,ACSH2,Acaciella shrevei
ACSU12,,ACSU12,Acaciella suffrutescens
VAVE,ACVE8,ACVE8,Acaciopsis vernicosa
ACAEN,,ACAEN,Acaena
ACNO7,ACAN3,ACAN3,Acaena anserinifolia
ACPIC2,ACCA2,ACCA2,Acaena californica
ACEX,,ACEX,Acaena exigua
ACEX,ACEXG,ACEXG,Acaena exigua var. glaberrima
ACEX,ACEXG2,ACEXG2,Acaena exigua var. glabriuscula
ACEX,ACEXS,ACEXS,Acaena exigua var. subtusstrigulosa
ACMY3,,ACMY3,Acaena myriophylla
ACNO7,,ACNO7,Acaena novae-zelandiae
ACNO7,ACNO4,ACNO4,Acaena novae-zelandica
ACPA14,,ACPA14,Acaena pallida
ACPI3,,ACPI3,Acaena pinnatifida
ACPIC2,,ACPIC2,Acaena pinnatifida var. californica
